fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P01_2	1	270071	104	8636	3.19767764772967	NA
Chi_P01_2	2	299540	84	7012	2.34092274821393	NA
Chi_P01_2	3	249158	74	7083	2.84277446439609	NA
Chi_P01_2	4	284200	107	8530	3.00140745953554	NA
Chi_P01_2	5	211501	85	7551	3.57019588559865	NA
Chi_P01_2	6	252430	99	9863	3.90722180406449	NA
Chi_P01_2	7	278700	91	9073	3.25547183351274	NA
Chi_P01_2	8	278827	89	9363	3.35799617684084	NA
Chi_P01_2	9	238852	72	8621	3.60934804816372	NA
Chi_P01_2	10	295402	71	8793	2.97662168841105	NA
Chi_P01_2	11	304450	99	10699	3.51420594514699	NA
Chi_P01_2	12	275390	124	15813	5.74203856349178	NA
Chi_P01_2	13	350968	212	22099	6.29658544368717	NA
Chi_P01_2	14	337281	202	21358	6.33240532375082	NA
Chi_P01_2	15	349903	187	19019	5.43550641177698	NA
Chi_P01_2	16	302992	115	16531	5.45591962824101	NA
Chi_P01_2	17	283990	119	14924	5.25511461671186	NA
Chi_P01_2	18	323190	134	16027	4.95900244438256	NA
Chi_P01_2	19	281198	152	17798	6.32934800389761	NA
Chi_P01_2	20	285615	153	15074	5.27773401256937	NA
Chi_P01_2	21	331819	144	17336	5.22453506279026	NA
Chi_P01_2	22	320607	157	23626	7.36914664994838	NA
Chi_P01_2	23	333624	134	17945	5.37880967796082	NA
Chi_P01_2	24	310520	163	19295	6.21377044956847	NA
