fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P06_1	1	234649	1	89	0.0379289918133041	NA
Chi_P06_1	2	368114	1	0	0	0
Chi_P06_1	3	320515	1	28	0.00873594059560395	NA
Chi_P06_1	4	266663	1	0	0	0
Chi_P06_1	5	275618	1	0	0	0
Chi_P06_1	6	280943	1	0	0	0
Chi_P06_1	7	290683	144	25538	8.78551549282208	NA
Chi_P06_1	8	306955	156	25167	8.19892166604225	NA
Chi_P06_1	9	351190	146	24002	6.83447706369771	NA
Chi_P06_1	10	339100	182	31475	9.28192273665585	NA
Chi_P06_1	11	326022	119	19915	6.1084834765752	NA
Chi_P06_1	12	347066	105	16544	4.76681668616344	NA
Chi_P06_1	13	225689	67	10353	4.58728604406949	NA
Chi_P06_1	14	333423	121	20913	6.27221277476359	NA
Chi_P06_1	15	332142	75	12130	3.65205243540413	NA
Chi_P06_1	16	296657	88	14023	4.72700795868629	NA
Chi_P06_1	17	338596	102	13683	4.04109912698319	NA
Chi_P06_1	18	339556	102	13169	3.87829989751322	NA
Chi_P06_1	19	355557	127	20920	5.88372609736273	NA
Chi_P06_1	20	340098	106	13779	4.05147927950179	NA
Chi_P06_1	21	362926	87	10192	2.80828598667497	NA
Chi_P06_1	22	317830	89	11099	3.49211842809049	NA
