fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P11_2	1	263112	94	13549	5.14951807595245	NA
Chi_P11_2	2	213560	63	9268	4.3397640007492	NA
Chi_P11_2	3	309785	129	17394	5.61486192036412	NA
Chi_P11_2	4	250462	90	11826	4.72167434580895	NA
Chi_P11_2	5	288375	102	12654	4.38803641092328	NA
Chi_P11_2	6	291259	71	6650	2.28319124902578	NA
Chi_P11_2	7	288339	92	11344	3.93425793943934	NA
Chi_P11_2	8	259806	47	5186	1.99610478587869	NA
Chi_P11_2	9	250362	66	7152	2.85666355117789	NA
Chi_P11_2	10	232026	83	10876	4.68740572177256	NA
Chi_P11_2	11	267680	104	12243	4.57374476987448	NA
Chi_P11_2	12	263612	85	9410	3.56964022882115	NA
Chi_P11_2	13	279764	100	15970	5.70838277977152	NA
Chi_P11_2	14	229390	61	7887	3.43824926980252	NA
Chi_P11_2	15	280238	76	10633	3.79427486636359	NA
Chi_P11_2	16	243072	77	9907	4.07574710373881	NA
Chi_P11_2	17	249848	83	11909	4.76649803080273	NA
Chi_P11_2	18	249899	73	11623	4.65107903593052	NA
Chi_P11_2	19	282802	70	6907	2.44234482075799	NA
Chi_P11_2	20	343140	72	7235	2.10846884653494	NA
Chi_P11_2	21	253325	78	6497	2.56468962794829	NA
Chi_P11_2	22	340480	75	7662	2.25035244360902	NA
Chi_P11_2	23	322835	170	22705	7.0330044759707	NA
Chi_P11_2	24	335334	141	15387	4.58855946608456	NA
