fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P07_2	1	226997	119	16726	7.36837931778834	NA
Chi_P07_2	2	287349	132	15267	5.31305137654907	NA
Chi_P07_2	3	314207	178	18351	5.84041730451581	NA
Chi_P07_2	4	254507	130	15354	6.03283996117985	NA
Chi_P07_2	5	246173	133	21104	8.57283292643791	NA
Chi_P07_2	6	338415	104	9062	2.67777728528582	NA
Chi_P07_2	7	295872	89	7270	2.4571436296777	NA
Chi_P07_2	8	320721	47	3574	1.11436419816601	NA
Chi_P07_2	9	292989	114	13836	4.72236159036687	NA
Chi_P07_2	10	295471	77	7492	2.53561263203495	NA
Chi_P07_2	11	261547	97	11236	4.29597739603207	NA
Chi_P07_2	12	240045	41	6113	2.54660584473744	NA
Chi_P07_2	13	342574	115	14060	4.1042227372772	NA
Chi_P07_2	14	306205	112	12428	4.05871883215493	NA
Chi_P07_2	15	304678	145	19948	6.54724003702269	NA
Chi_P07_2	16	300394	150	23099	7.68956770108591	NA
Chi_P07_2	17	324505	134	19270	5.93827521917998	NA
Chi_P07_2	18	338881	145	21282	6.28008061827013	NA
Chi_P07_2	19	269999	90	12673	4.69372108785588	NA
Chi_P07_2	20	319425	116	15690	4.91195116224466	NA
