fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P06_2	1	296836	109	15378	5.1806384670323	NA
Chi_P06_2	2	315625	121	19473	6.16966336633663	NA
Chi_P06_2	3	288042	133	18395	6.38622145381576	NA
Chi_P06_2	4	269222	103	14114	5.24251361330055	NA
Chi_P06_2	5	243088	99	13464	5.53873494372408	NA
Chi_P06_2	6	297132	144	20688	6.96256209361496	NA
Chi_P06_2	7	340598	155	19544	5.73814291334653	NA
Chi_P06_2	8	260840	106	15692	6.01594847416041	NA
Chi_P06_2	9	314756	112	16452	5.22690592077673	NA
Chi_P06_2	10	303898	111	17626	5.79997235914682	NA
Chi_P06_2	11	304038	134	20354	6.69455791710247	NA
Chi_P06_2	12	264978	104	12337	4.65585822219203	NA
Chi_P06_2	13	257696	79	9242	3.5863963740221	NA
Chi_P06_2	14	319151	105	14376	4.5044508712177	NA
Chi_P06_2	15	261953	88	13440	5.13069138356881	NA
Chi_P06_2	16	288079	97	13096	4.54597523595958	NA
Chi_P06_2	17	277762	70	10858	3.9091020369957	NA
Chi_P06_2	18	267833	80	14155	5.28500968887329	NA
Chi_P06_2	19	273681	98	15425	5.63612380837544	NA
Chi_P06_2	20	207717	79	13287	6.39668394979708	NA
Chi_P06_2	21	250492	73	14233	5.68201778899127	NA
Chi_P06_2	22	202496	90	12559	6.20209781921618	NA
Chi_P06_2	23	280450	131	21328	7.60492066321982	NA
