fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P11_1	1	349140	140	15700	4.49676347596952	NA
Chi_P11_1	2	330114	109	11845	3.58815439514834	NA
Chi_P11_1	3	333823	126	16152	4.83849225487758	NA
Chi_P11_1	4	360602	113	12785	3.54546009173549	NA
Chi_P11_1	5	337363	148	16604	4.9217015499625	NA
Chi_P11_1	6	370739	149	18388	4.95982348768271	NA
Chi_P11_1	7	363010	115	15951	4.39409382661635	NA
Chi_P11_1	8	338097	183	29112	8.61054667743281	NA
Chi_P11_1	9	311243	95	14111	4.53375658247736	NA
Chi_P11_1	10	368798	94	14958	4.05587882797629	NA
Chi_P11_1	11	369331	133	19114	5.17530345408319	NA
Chi_P11_1	12	333988	139	20835	6.23824808076937	NA
Chi_P11_1	13	394932	120	15756	3.98954756768254	NA
Chi_P11_1	14	312693	121	17485	5.59174653733854	NA
Chi_P11_1	15	349162	105	12262	3.51183691237878	NA
Chi_P11_1	16	232518	83	12734	5.47656525516304	NA
Chi_P11_1	17	300696	93	10491	3.48890573868625	NA
Chi_P11_1	18	336869	94	11793	3.50076736060605	NA
