fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P02_1	1	282394	146	17641	6.24694575663789	NA
Mock_P02_1	2	422230	263	21621	5.12066882978471	NA
Mock_P02_1	3	337079	162	20077	5.95617051195714	NA
Mock_P02_1	4	323775	98	10282	3.1756621110339	NA
Mock_P02_1	5	381501	210	26030	6.82304895662135	NA
Mock_P02_1	6	387370	164	16389	4.23083873299429	NA
Mock_P02_1	7	365227	193	16205	4.43696659885496	NA
Mock_P02_1	8	354502	213	21274	6.00109449311993	NA
Mock_P02_1	9	341649	206	19536	5.718149328697	NA
Mock_P02_1	10	366293	177	18189	4.96569686016386	NA
Mock_P02_1	11	305945	179	14600	4.7720995603785	NA
Mock_P02_1	12	379480	179	14377	3.7886054601033	NA
Mock_P02_1	13	400090	173	14219	3.55395036116874	NA
Mock_P02_1	14	421221	186	14395	3.41744594880122	NA
Mock_P02_1	15	355728	200	18324	5.15112670354878	NA
Mock_P02_1	16	379864	134	11305	2.97606511804225	NA
Mock_P02_1	17	326596	94	7264	2.22415461303874	NA
Mock_P02_1	18	362075	174	17375	4.79872954498377	NA
