fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P08_1	1	266722	146	19573	7.33835229189943	NA
Chi_P08_1	2	396424	113	15878	4.0053074485904	NA
Chi_P08_1	3	356857	141	12073	3.38314787155639	NA
Chi_P08_1	4	373455	155	20780	5.56425807660896	NA
Chi_P08_1	5	337153	136	14372	4.26275311208858	NA
Chi_P08_1	6	289059	1	335	0.115893295140438	NA
Chi_P08_1	7	288375	1	344	0.119289120069354	NA
Chi_P08_1	8	325229	1	389	0.119608030034222	NA
Chi_P08_1	9	311138	4	800	0.257120634573726	NA
Chi_P08_1	10	255832	2	307	0.120000625410426	NA
Chi_P08_1	11	324696	2	376	0.115800625816148	NA
Chi_P08_1	12	331170	117	11491	3.46981912612857	NA
Chi_P08_1	13	356333	89	9170	2.57343552239057	NA
Chi_P08_1	14	302469	110	9764	3.22809940853443	NA
Chi_P08_1	15	292041	103	9633	3.29850945586407	NA
Chi_P08_1	16	266214	103	11920	4.47760072723448	NA
Chi_P08_1	17	374213	199	26594	7.10664781822117	NA
Chi_P08_1	18	324490	160	16357	5.04083330765201	NA
Chi_P08_1	19	377542	238	36894	9.77215779966203	NA
Chi_P08_1	20	398169	237	33483	8.40924331125728	NA
Chi_P08_1	21	376055	234	37943	10.0897475103376	NA
Chi_P08_1	22	370298	222	28936	7.81424690384501	NA
