fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P03_1	1	195646	76	7291	3.72662870695031	NA
Chi_P03_1	2	283493	154	14678	5.17755288490368	NA
Chi_P03_1	3	303418	71	7107	2.34231324443507	NA
Chi_P03_1	4	187909	107	11977	6.37382988574257	NA
Chi_P03_1	5	149431	38	5043	3.37480174796394	NA
Chi_P03_1	6	234068	65	8336	3.56135823777706	NA
Chi_P03_1	7	203328	40	4086	2.00956090651558	NA
Chi_P03_1	8	225462	98	11430	5.06959044096123	NA
Chi_P03_1	9	232499	87	10871	4.67571903535069	NA
Chi_P03_1	10	196869	40	3579	1.81796016640507	NA
Chi_P03_1	11	301161	51	6307	2.09422866838668	NA
Chi_P03_1	12	164617	31	4310	2.61819860646227	NA
Chi_P03_1	13	227406	59	8175	3.59489195535738	NA
Chi_P03_1	14	296876	104	13722	4.62213179913499	NA
Chi_P03_1	15	268459	85	9084	3.38375692377607	NA
Chi_P03_1	16	186941	55	6900	3.69100411359734	NA
Chi_P03_1	17	222366	75	10245	4.60726909689431	NA
Chi_P03_1	18	219024	69	10924	4.98758126963255	NA
Chi_P03_1	19	258396	91	11689	4.52367683710274	NA
