fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P01_1	1	276070	1	0	0	0
Mock_P01_1	2	207538	1	0	0	0
Mock_P01_1	3	320297	1	334	0.104278216780051	NA
Mock_P01_1	4	275548	1	0	0	0
Mock_P01_1	5	272342	1	0	0	0
Mock_P01_1	6	331431	192	20183	6.08965365339995	NA
Mock_P01_1	7	299101	170	17002	5.68436748790542	NA
Mock_P01_1	8	345771	131	12715	3.67728930419266	NA
Mock_P01_1	9	311754	207	16272	5.21949999037703	NA
Mock_P01_1	10	293449	150	16238	5.53349985857849	NA
Mock_P01_1	11	310053	210	21866	7.05234266399616	NA
Mock_P01_1	12	374633	203	23971	6.39852869341462	NA
Mock_P01_1	13	345528	166	18486	5.3500729318608	NA
Mock_P01_1	14	336553	149	18796	5.58485587708325	NA
Mock_P01_1	15	395493	193	19992	5.05495672489779	NA
Mock_P01_1	16	386648	150	12730	3.2924003227742	NA
Mock_P01_1	17	371231	171	20132	5.42303848547131	NA
Mock_P01_1	18	345248	221	19586	5.67302344980999	NA
Mock_P01_1	19	398829	231	21241	5.32584140070055	NA
Mock_P01_1	20	339032	226	19820	5.84605582953821	NA
Mock_P01_1	21	327550	115	9701	2.96168523889482	NA
Mock_P01_1	22	373543	201	19816	5.30487788554464	NA
Mock_P01_1	23	405073	242	18954	4.67915659646533	NA
