fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P08_2	1	178202	1	241	0.135239784065274	NA
Chi_P08_2	2	218245	1	274	0.125546977021238	NA
Chi_P08_2	3	300617	5	544	0.180961156554686	NA
Chi_P08_2	4	253541	1	289	0.113985509247025	NA
Chi_P08_2	5	211264	2	356	0.16850954256286	NA
Chi_P08_2	6	214736	1	268	0.12480441099769	NA
Chi_P08_2	7	281593	130	13914	4.94117396384143	NA
Chi_P08_2	8	340928	163	17007	4.98844330767787	NA
Chi_P08_2	9	350912	153	21073	6.0052092832391	NA
Chi_P08_2	10	327139	152	18634	5.69604969141558	NA
Chi_P08_2	11	353556	200	29608	8.37434522395321	NA
Chi_P08_2	12	246148	129	14633	5.94479743893918	NA
Chi_P08_2	13	309046	139	18334	5.93245018540929	NA
Chi_P08_2	14	275798	133	17073	6.1904002204512	NA
Chi_P08_2	15	308569	107	14061	4.55684141958525	NA
Chi_P08_2	16	300334	140	21103	7.02651048499337	NA
Chi_P08_2	17	291891	89	13855	4.74663487397693	NA
Chi_P08_2	18	333181	96	13862	4.16050134911655	NA
Chi_P08_2	19	315261	153	16853	5.34572941150348	NA
Chi_P08_2	20	285759	113	11964	4.1867447744428	NA
Chi_P08_2	21	334046	191	21094	6.31469917316777	NA
