image	leaf.number	leaf.surface	lesion.nb	lesion.surface	pourcent.lesions
IMG_5583	1	338156	37	23764	7.02752575734276
IMG_5593	1	446150	92	57762	12.9467667824723
IMG_5598	1	437460	99	21461	4.90581996068212
IMG_5605	1	791717	26	15874	2.00500936572033
