image	leaf.number	leaf.surface	lesion.nb	lesion.surface	pourcent.lesions
IMG_5593	1	0	0	0	NA
IMG_5593	2	0	0	0	NA
IMG_5593	3	614583	73	78029	12.6962509538988
IMG_5593	4	0	0	0	NA
