image	keepLesion	object	s.area	s.perimeter	s.radius.mean	s.radius.sd	s.radius.min	s.radius.max	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta
IMG_5593_50	keep	1	718	109	15.134067915316	3.07717994185099	9.85654616987041	21.3030802272682	1414.56128133705	17.6016713091922	39.4816634114376	0.781128612727039	-0.671188656586644
IMG_5593_50	keep	2	142	48	7.1582998994537	2.96178956217222	1.19333362430163	12.6411647065803	1186.11971830986	199.654929577465	24.7972163874277	0.941307405278618	-0.657561274030428
IMG_5593_50	keep	4	28	15	2.59060878711474	0.489752205952149	1.5216949614018	3.52829829930649	640.357142857143	199.214285714286	7.25807234669132	0.730802710223076	0.975651351962467
IMG_5593_50	keep	6	13	13	1.97117205469329	0.96490868901338	0.326356975932287	3.5559767173311	1045.38461538462	198.846153846154	8.34988426053379	0.962937013034964	0.488553675392425
IMG_5593_50	keep	7	68	27	4.21824683307824	0.808443927489625	2.89268506515064	5.48373327121672	966.044117647059	208.838235294118	11.6796057163315	0.771886650804014	1.4850164102707
IMG_5593_50	keep	8	14	10	1.66047320709979	0.229845009742956	1.29999999999999	1.92093727122985	869.5	206.285714285714	4.20883424650482	0.20365327001644	6.3381675199875e-10
IMG_5593_50	keep	11	730	181	16.7100249014011	6.32741664975397	3.6487603333639	30.1609618168285	1133.68630136986	241.947945205479	46.929860674992	0.59552393141054	-1.16570483225842
IMG_5593_50	keep	13	42	22	3.25740487345918	0.806005005491141	1.73562573563972	4.58392808562864	1047.2619047619	244.785714285714	9.29581269983012	0.728774639868092	0.199098250224993
IMG_5593_50	keep	14	6331	1214	73.4983573126167	34.9090719355424	22.4845302319904	160.918724246427	975.951350497552	305.817880271679	296.502713919535	0.885816170000663	-0.441427601365446
IMG_5593_50	keep	19	38	22	3.06324396019725	0.885376649915684	1.33685828816846	4.79259932233674	876.921052631579	249.815789473684	9.61939919648147	0.834540241760348	0.762350817033275
IMG_5593_50	keep	20	10	8	1.38471090380795	0.287359901300409	1.11803398874989	1.80277563773199	751.5	249	4.38178046009181	0.790569415038356	0.463647608965882
IMG_5593_50	keep	21	545	178	16.5513947644726	8.19054186805828	2.40319454522919	32.8797614773699	831.895412844037	262.093577981651	61.3491450085698	0.944565456678428	-0.0308168896355459
