image	leaf.number	lesion.status	lesion.number	lesion.surface	lesion.perimeter	lesion.radius.mean	lesion.radius.sd	lesion.radius.min	lesion.radius.max	leaf.surface	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta
IMG_5583	1	keep	1	32	20	2.87429801398992	0.962242654829633	1.25	4.19076365356005	338156	870	453.3125	9.74679434480896	0.903574771903827	0
IMG_5583	1	keep	3	2645	266	28.644829650327	6.67978208681979	13.4368796339832	40.6014106445604	338156	759.978827977316	502.877126654064	65.1746341786192	0.328808687661262	-1.41276383989114
IMG_5583	1	keep	4	14	11	1.71676540652556	0.555801120963757	0.862439361864153	2.73332661424962	338156	868.142857142857	468.214285714286	5.89093751600141	0.863838675636874	-1.55187791519859
IMG_5583	1	keep	5	1873	331	30.0274813099763	13.7181528297793	2.09505017137104	54.865720092448	338156	857.041644420715	518.199679658302	124.373594578006	0.965847184915961	1.44082314153354
IMG_5583	1	keep	6	1058	166	19.1598272852344	5.35314933776504	7.29938046315471	29.5439878859663	338156	408.539697542533	510.90831758034	47.3865529253007	0.653722251885585	-1.53649843539162
IMG_5583	1	keep	7	32	17	2.79846248721983	0.74575529513275	1.50316851049183	4.24549425312144	338156	463.3125	527.71875	8.63376064340441	0.83048401285396	-1.41064185640142
IMG_5583	1	keep	8	19	12	2.00403277343523	0.378912740904466	1.55679514102245	2.63127556730782	338156	568.473684210526	527.368421052632	5.69531054125544	0.681297303138965	-1.49693359436388
IMG_5583	1	keep	9	302	80	10.1533909011659	3.74677737637575	4.08904787206017	17.0358537355778	338156	570.559602649007	545.778145695364	34.3082035895923	0.921779653362995	0.567511078731653
IMG_5583	1	keep	10	4724	419	39.6656537840277	17.2286368964319	8.98093736457838	68.8797226027163	338156	370.598645215919	603.622565622354	143.66998486163	0.899683924846024	0.952598434447101
IMG_5583	1	keep	11	466	128	14.9294321416077	8.09547642491272	0.647354140183331	27.9066021289374	338156	1052.46995708155	568.875536480687	68.6454157469215	0.976501397976395	0.0738556257780437
IMG_5583	1	keep	12	67	26	4.24350866867181	0.84179006306096	2.9442552629238	5.80246835866036	338156	873.119402985075	608.507462686567	11.5663852144767	0.756528037656595	-0.219227552850033
IMG_5583	1	keep	13	139	39	6.29190536929761	1.04108269990332	4.78725570922524	8.30785058412063	338156	439.964028776978	624.31654676259	15.9299589092698	0.682283054669753	1.52142726204213
IMG_5583	1	keep	14	356	67	10.2290816930979	1.82782325142521	5.90430104017404	13.7486344731933	338156	844.10393258427	633.865168539326	26.3138251752872	0.731859580016695	1.40425774457572
IMG_5583	1	keep	16	30	22	3.11337771118869	1.31545921505829	1.16153930356188	5.24699835482509	338156	462.866666666667	630.566666666667	11.6133715780895	0.959741722023333	0.242352269901369
IMG_5583	1	keep	17	474	92	12.009498784053	2.80453090323685	6.6890583709786	18.3996698262889	338156	569.291139240506	645.786919831224	31.302438772438	0.731872068165236	-0.268472067970343
IMG_5583	1	keep	18	406	112	11.8691075912204	5.5686092833201	0.296799466760581	22.953342829887	338156	1039.0197044335	654.428571428571	44.0771263054082	0.93865500501709	-1.04342872505778
IMG_5583	1	keep	19	98	33	5.19201368906864	0.872927326291625	3.41242261438606	6.84298518783957	338156	1019.30612244898	641.418367346939	13.0809557540937	0.626565911355972	1.09534272103839
IMG_5583	1	keep	22	164	53	7.27370713681476	3.17030292831858	0.618050541666374	12.2491780879594	338156	1043.82317073171	682.134146341463	26.5222503174478	0.934710077241401	0.966251981486118
IMG_5583	1	keep	23	18	13	1.97160332702032	0.717737545895251	0.951485913604071	3.23168485193851	338156	799.833333333333	674.055555555556	7.09776447284297	0.899994626481255	-0.0618772871678913
IMG_5583	1	keep	24	553	94	13.0053415446409	1.853709371135	9.79792431894179	18.2686617411012	338156	959.278481012658	688.108499095841	29.898618369379	0.56566509471564	-0.479893003897649
IMG_5583	1	keep	26	15	10	1.79754127340193	0.467809117500454	0.921954445729295	2.49999999999998	338156	724.266666666667	680.666666666667	5.51870741903978	0.767944305932905	0.856906600875973
IMG_5583	1	keep	27	112	37	5.69361754914083	1.13344229964668	3.27573811375688	7.62646003217431	338156	719.017857142857	701.5	14.435587805133	0.671344411241768	0.640424231242566
IMG_5583	1	keep	28	13	12	1.71991928765048	0.60110073067026	0.920446751432232	2.91785690000189	338156	978.846153846154	701.076923076923	6.05112884430754	0.87707288280545	0.050503222160667
IMG_5583	1	keep	29	31	24	3.25060338607883	1.61198889015044	0.541666666666686	6.0244006156445	338156	992.064516129032	702.612903225806	12.4594704635099	0.958491100838296	0.0572108211654421
IMG_5583	1	keep	31	42	30	4.07907408504046	2.06694598861761	0.471404520791013	7.54247233265649	338156	1003.16666666667	720.857142857143	17.12047433412	0.97927568307252	1.28593317157152
IMG_5583	1	keep	32	1549	220	23.3549904556532	9.11278840706207	2.81177056656625	41.1430614838573	338156	1074.63266623628	759.16720464816	69.1793504458401	0.826288563586941	-0.478834454425098
IMG_5583	1	keep	33	121	46	6.58635973745497	2.49428791724715	1.67673393028465	10.6947021493949	338156	681.652892561983	738.347107438017	21.8555815228031	0.915833157136776	-0.43017319456444
