image	keepLesion	object	s.area	s.perimeter	s.radius.mean	s.radius.sd	s.radius.min	s.radius.max	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta
01_cuba5_dpi42_4	keep	4	16	15	2.12812933527475	0.945139013354788	0.76011695006608	3.81808561687368	177	44.125	8.2383990876595	0.955710891778197	0.252570013338496
01_cuba5_dpi42_4	keep	5	13	11	1.6881294646464	0.569010219241206	0.857634648368775	2.76489205922646	184.769230769231	46.4615384615385	5.91199700682109	0.865198931619744	0.0653192871613816
01_cuba5_dpi42_4	keep	6	36	25	3.35423383103465	1.57185094927688	0.280000000000001	6.00652978016425	169.027777777778	51.7777777777778	13.2626086042084	0.930056445129471	-1.25241313466416
01_cuba5_dpi42_4	keep	7	17	15	1.9389563714281	0.838254383776557	0.520683311727115	3.08832928584012	191.352941176471	53.5882352941176	7.50606658863371	0.892883350091236	-1.21648319073083
01_cuba5_dpi42_4	keep	9	11	9	1.49165632653754	0.585544736180277	0.45812284729085	2.3778816176703	199	56.5454545454545	5.33289697394756	0.857513996740345	0.670576942254685
01_cuba5_dpi42_4	keep	11	18	11	2.03905561407889	0.373862092021079	1.43739893644013	2.57129738613294	529.888888888889	62.8888888888889	5.92962847292715	0.771690104887502	0.785398163408047
01_cuba5_dpi42_4	keep	12	118	46	6.00723775739777	2.30661373594514	0.947087865686612	9.61120368605807	209.889830508475	71.4915254237288	20.540731925729	0.896750203030686	-1.46832954623577
01_cuba5_dpi42_4	keep	15	41	21	3.25550118858764	0.77100958183203	1.91426202307064	4.47720353277834	83.1463414634146	74	9.46678903348568	0.781285911391427	0.759984530585168
01_cuba5_dpi42_4	keep	20	20	15	2.20262469850351	0.65455667252143	1.45602197785611	3.64965751817893	248.55	88.6	6.99198249178272	0.833649473731937	-0.0613743437575289
01_cuba5_dpi42_4	keep	21	21	13	2.14488407396862	0.438602003551949	1.02628185108664	2.76923076923077	235.904761904762	93.2857142857143	5.97287832574621	0.646198981986852	1.20221645068623
01_cuba5_dpi42_4	keep	24	61	29	4.28208594783454	1.34226337573544	1.66090959707481	6.54164378793863	264.049180327869	105.491803278689	13.7168690967025	0.901181076790391	-1.19596952761094
01_cuba5_dpi42_4	keep	26	15	13	1.84507636823333	0.707826701371109	0.634323942402744	3.20133108410537	295.6	112.8	6.55331669216702	0.841697313138672	0.657806968092009
01_cuba5_dpi42_4	keep	30	51	22	3.69060611365702	0.829022167078081	2.15561921843261	5.24936044904206	428.470588235294	126.392156862745	10.7094109113535	0.820800321775393	0.833077808599634
01_cuba5_dpi42_4	keep	34	58	41	5.36578796469056	2.66526170092184	0.569395977069701	10.590254013544	333.689655172414	145.155172413793	21.9825704669688	0.965644145332051	0.923419253005505
01_cuba5_dpi42_4	keep	35	22	15	2.33255447926273	0.753709818272435	0.926162932629986	3.77594726893501	124.954545454545	145.363636363636	7.46461360400944	0.833180635519123	-0.919910887063329
01_cuba5_dpi42_4	keep	37	14	13	1.76043906621592	0.800311979514881	0.172005229038459	3.19114900195256	361.857142857143	154.142857142857	6.86949823341515	0.896062958011892	0.334678707076749
01_cuba5_dpi42_4	keep	39	18	16	2.25637661624136	0.94918494808925	0.712609640686961	3.87399180432793	370.166666666667	157.444444444444	8.25443809157833	0.930449162063822	0.442209440269073
01_cuba5_dpi42_4	keep	42	15	11	1.86693712268941	0.562315456382074	1.09469041625385	2.97232413168581	377.8	161.266666666667	6.1924604391051	0.859642970187367	0.474689990095326
01_cuba5_dpi42_4	keep	43	66	36	4.40303494167966	1.57962899023551	0.768295371441072	7.13607813235752	381.863636363636	173.409090909091	12.209008891012	0.564617528946521	-0.614182568021358
01_cuba5_dpi42_4	keep	44	246	108	14.0005683805403	6.45941593006802	1.54884465105007	26.0716753026425	450.19918699187	206.252032520325	57.6012048441549	0.969190589763759	0.780317854071303
01_cuba5_dpi42_4	keep	45	63	26	4.02400762584533	0.735588497591896	2.7098330698167	5.31660344480846	421.031746031746	197.714285714286	10.6121456382384	0.675052698754619	-0.980654685935036
01_cuba5_dpi42_4	keep	46	16	13	1.99905096976489	0.851873647559498	0.657231057332114	3.61210980980735	183.625	219.3125	7.57428529225652	0.929371505266827	0.402956340141208
01_cuba5_dpi42_4	keep	48	85	30	4.75951972883926	0.634450554689191	3.74314187696795	6.36745195855018	192.682352941176	226.058823529412	11.8084060107657	0.610845709787442	0.392006853162907
01_cuba5_dpi42_4	keep	51	40	23	3.21936648744799	1.088932476077	0.52534982493889	4.89164250038846	140	249.625	10.2307399484627	0.815368894838853	0.145762808801236
01_cuba5_dpi42_4	keep	54	263	83	11.517026938246	5.30399550696873	3.57995581139695	20.5320011582739	57.6730038022814	270.77566539924	42.4112916101842	0.98068326567117	0.387816313611895
01_cuba5_dpi42_4	keep	56	16	12	1.81574760106363	0.596521941766991	1.00692049779956	2.80128938566194	187.25	279.875	6.11395187494782	0.83417076407712	0.307331475961083
01_cuba5_dpi42_4	keep	57	37	25	3.54815886565466	1.64710918401793	1.0283968105746	6.55267884151208	393.621621621622	281.945945945946	13.4387578156284	0.964710203986098	0.295370580153547
01_cuba5_dpi42_4	keep	63	35	24	3.34428546342291	1.50224064695389	0.801474335902975	5.93512379352314	33.8285714285714	304.628571428571	13.026708169666	0.958831851753492	0.410047879672576
01_cuba5_dpi42_4	keep	68	17	12	1.90467274053084	0.604381756040253	0.870025542409222	2.90234579454467	249	312.411764705882	5.79034967495619	0.693434175456797	-0.967998888281021
01_cuba5_dpi42_4	keep	69	65	32	4.3828642062128	1.30371815872857	1.71305875920822	6.63302874353036	296.569230769231	328	12.7826965575882	0.74017003597684	-0.697030349279856
01_cuba5_dpi42_4	keep	74	14	11	1.65818603026839	0.457271008236006	0.927094457016896	2.36363636363638	346.142857142857	355.928571428571	5.44935366586541	0.816539963138812	0.124989310713441
01_cuba5_dpi42_4	keep	76	18	17	2.55595817782485	1.37449013162337	0.474250455782295	4.87384091446528	338.111111111111	362.777777777778	10.8943694385759	0.979701243946273	0.538838518185546
01_cuba5_dpi42_4	keep	79	12	10	1.50915282974092	0.36394743643137	0.94339811320567	1.92093727122985	146.166666666667	418.5	4.26874949162493	0.441726104310321	3.27418092621578e-11
01_cuba5_dpi42_4	keep	82	37	22	3.19137212325638	1.2427722292831	0.877873087083083	5.16524462790639	273.486486486487	440	11.4836485264244	0.920993033006899	0.50119214185498
01_cuba5_dpi42_4	keep	84	24	21	2.98458902756449	1.52058639513437	0.336717514850741	5.52647718835233	123.416666666667	449.833333333333	12.1544273931647	0.978164774984	0.397423788207129
01_cuba5_dpi42_4	keep	85	494	104	14.8219754871589	6.55198407513206	5.15675147731754	25.8325928824341	46.5202429149798	460.595141700405	53.9616871629557	0.973495608198099	0.361373095654492
01_cuba5_dpi42_4	keep	88	11	11	1.51455639629609	0.718356650843083	0.530086535895018	2.76489205922645	195.727272727273	487.454545454545	6.41074798336494	0.951868376264258	0.0533678363250674
