image	keepLesion	object	s.area	s.perimeter	s.radius.mean	s.radius.sd	s.radius.min	s.radius.max	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta
01_cuba5_dpi42_1	keep	1	38	19	3.18355586855848	0.696757236579062	2.33069366584049	4.74735675106513	274.368421052632	46	8.84483503232157	0.772078403315346	-1.44300521146344
01_cuba5_dpi42_1	keep	2	214	64	8.90241934198025	3.73062785016289	2.9370428500662	15.4364008338448	485.341121495327	67.6308411214953	32.0095653991145	0.961847681461806	-1.43094637604241
01_cuba5_dpi42_1	keep	3	213	56	8.25851656308661	3.03582413140419	3.75004251676578	12.9225148599691	409.183098591549	104.1220657277	27.9471390415125	0.934624774424281	-1.3323232599699
01_cuba5_dpi42_1	keep	5	13	11	1.71100440429054	0.601431730826944	1.03652311372649	2.90482641975826	202.307692307692	94	6.22584193615297	0.912402440142277	-0.328205594815025
01_cuba5_dpi42_1	keep	7	19	17	2.33084970814756	1.14351391206848	0.376654366907827	4.29371472726933	335.789473684211	121.315789473684	9.32005498292123	0.959869437376483	-1.3908276369845
01_cuba5_dpi42_1	keep	8	39	22	3.53162280012185	1.4340732259875	1.09469041625385	5.80111132128866	78.9230769230769	132.179487179487	12.7102975602759	0.946871459137894	-0.607432385489112
01_cuba5_dpi42_1	keep	9	37	24	3.44377079526212	1.44871530779274	0.790569415042095	6.01040764008565	82.9189189189189	149.567567567568	11.8949608149988	0.92267911314684	-1.14218444283627
01_cuba5_dpi42_1	keep	10	14	11	1.7774207625447	0.628087924688468	0.94911877353735	2.93736262207335	329.857142857143	146.785714285714	6.32663295360106	0.893727330844736	-1.15009761692785
01_cuba5_dpi42_1	keep	11	34	19	2.82715477059456	0.587491311943045	1.58245225035503	3.87691512856902	326.058823529412	161.676470588235	7.85981679808375	0.682938321688421	-0.301329224767709
01_cuba5_dpi42_1	keep	15	185	50	7.34748947869713	1.55447687677719	3.83379707339864	10.2282940904141	121.421621621622	222.924324324324	18.3969447883473	0.631894903237232	-1.36322928906095
01_cuba5_dpi42_1	keep	16	15	17	2.22094108249578	0.938386645796813	0.357809560605798	3.7976499744868	314.266666666667	217.933333333333	8.96473645710768	0.913119462793777	0.737570162177937
01_cuba5_dpi42_1	keep	17	34	18	2.99345118980771	0.755059051842764	2.08758824756178	4.4249572781644	309.794117647059	229.882352941176	8.95586834974239	0.831331741555127	-1.03296918917238
01_cuba5_dpi42_1	keep	18	41	21	3.38484174257037	1.10389462323376	1.58579293384255	5.12607491078017	303.024390243902	255.170731707317	11.1995053230641	0.906371675444649	-0.989530002167466
01_cuba5_dpi42_1	keep	19	51	26	3.73285532537543	1.12559964097762	1.78421746226819	5.91857971128349	297.176470588235	273.294117647059	11.6983054844867	0.859733001932265	-1.3088471843662
01_cuba5_dpi42_1	keep	21	109	48	6.64731586793919	3.10329922137704	1.75458229438739	11.9371364109842	354.871559633028	308.651376146789	25.4647230607516	0.975086359609509	-1.31697997346719
01_cuba5_dpi42_1	keep	22	77	36	4.75775585464243	1.5788024741262	1.20601629700515	8.15196143934955	286.350649350649	311.506493506493	14.1680096980821	0.782346424550357	-0.574296687213586
01_cuba5_dpi42_1	keep	24	227	60	8.44972953712271	2.58829924307417	4.46125293810805	13.3953764826193	265.691629955947	325	25.1605116328041	0.867076166308282	-1.4784533051672
01_cuba5_dpi42_1	keep	26	18	13	1.96746432485493	0.651875845992792	0.688020916153811	2.81689744978473	280.277777777778	326.666666666667	6.59693967655699	0.83710327845273	0.199575416487944
01_cuba5_dpi42_1	keep	32	51	22	3.62545352827717	0.707612050120802	2.44780218506116	4.96267056871136	246.764705882353	346	10.0078321188572	0.753634479572554	1.48768865495512
01_cuba5_dpi42_1	keep	33	172	60	8.3383715476823	3.65975165209669	2.53859103528795	14.8114070154654	466.279069767442	363.238372093023	29.8461258336768	0.96774282522857	-1.33320916608679
01_cuba5_dpi42_1	keep	34	319	74	10.7940700581212	3.87810928659932	4.51450466540855	18.0570326479649	148.41065830721	375.498432601881	33.7093861132801	0.923360837567358	-1.33850213984317
01_cuba5_dpi42_1	keep	36	87	35	5.16531402963223	1.94546577912166	1.73793215151377	7.82069468181201	117.114942528736	396.609195402299	17.8838758148804	0.921453050132775	-1.30434188947447
01_cuba5_dpi42_1	keep	40	262	69	9.81991165815082	4.12001237957364	3.66147882981346	16.9132670153999	476.335877862595	447.19465648855	35.0667368113017	0.959251870427361	-1.29142536476581
01_cuba5_dpi42_1	keep	41	161	51	7.64739372397583	3.13643845801112	3.05404352508824	13.2950575178204	182	469.55900621118	26.6542803404992	0.956620493426003	-1.21280364186018
