fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P02_1	1	221331	89	12608	5.69644559505898	NA
Chi_P02_1	2	325121	104	12559	3.8628695162724	NA
Chi_P02_1	3	251438	104	15136	6.01977425846531	NA
Chi_P02_1	4	321228	82	8738	2.72018628513081	NA
Chi_P02_1	5	282076	78	9593	3.40085650675704	NA
Chi_P02_1	6	314752	113	11253	3.57519570963806	NA
Chi_P02_1	7	326291	108	11887	3.64306707816029	NA
Chi_P02_1	8	337300	112	13663	4.05069670916098	NA
Chi_P02_1	9	319302	151	18925	5.92699074857032	NA
Chi_P02_1	10	331357	116	11465	3.46001442552896	NA
Chi_P02_1	11	332634	105	11925	3.58502137484442	NA
Chi_P02_1	12	233187	111	12914	5.53804457366834	NA
Chi_P02_1	13	308431	68	4354	1.41166095496237	NA
Chi_P02_1	14	258928	76	6637	2.56326082926528	NA
Chi_P02_1	15	324794	95	11439	3.52192466609605	NA
Chi_P02_1	16	290100	62	4983	1.717683557394	NA
Chi_P02_1	17	294460	71	6598	2.24071181145147	NA
Chi_P02_1	18	313366	91	9712	3.09925135464601	NA
