fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P02_2	1	282700	109	10585	3.74425185709232	NA
Chi_P02_2	2	315412	119	12451	3.94753528717994	NA
Chi_P02_2	3	289095	95	9845	3.40545495425379	NA
Chi_P02_2	4	330240	51	4521	1.36900436046512	NA
Chi_P02_2	5	300802	51	4210	1.39959175803352	NA
Chi_P02_2	6	279026	113	9873	3.53837993591995	NA
Chi_P02_2	7	210618	67	9430	4.47730013579086	NA
Chi_P02_2	8	321885	166	17346	5.3888811221399	NA
Chi_P02_2	9	314120	122	16935	5.39125175092321	NA
Chi_P02_2	10	322219	90	8370	2.59761218301838	NA
Chi_P02_2	11	269049	80	11011	4.09256306472055	NA
Chi_P02_2	12	289064	95	12675	4.38484211108959	NA
Chi_P02_2	13	245026	91	11828	4.8272428232106	NA
Chi_P02_2	14	297040	121	12972	4.36708860759494	NA
Chi_P02_2	15	293657	142	15303	5.21118175286133	NA
Chi_P02_2	16	252599	101	10908	4.31830688165828	NA
Chi_P02_2	17	313674	97	10289	3.28015710578499	NA
Chi_P02_2	18	306700	124	17309	5.64362569285947	NA
Chi_P02_2	19	259860	107	13775	5.30093127068421	NA
Chi_P02_2	20	337665	158	16695	4.94424947803296	NA
Chi_P02_2	21	226138	92	13568	5.99987618180049	NA
Chi_P02_2	22	335968	119	16826	5.00821506810172	NA
