fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P01_1	1	290268	1	0	0	0
Chi_P01_1	2	282143	1	636	0.22541760738349	NA
Chi_P01_1	3	220317	2	532	0.241470245146766	NA
Chi_P01_1	4	289693	1	0	0	0
Chi_P01_1	5	272290	1	86	0.0315839729699952	NA
Chi_P01_1	6	259747	2	152	0.0585184814454065	NA
Chi_P01_1	7	294456	64	7771	2.6391039747874	NA
Chi_P01_1	8	266957	83	10436	3.90924381080099	NA
Chi_P01_1	9	265496	156	18142	6.83324795853798	NA
Chi_P01_1	10	289900	159	19465	6.71438427043808	NA
Chi_P01_1	11	273288	80	7974	2.91780100114165	NA
Chi_P01_1	12	258636	114	14062	5.43698479716667	NA
Chi_P01_1	13	286758	117	15544	5.42059855348412	NA
Chi_P01_1	14	265646	104	13762	5.18057866483967	NA
Chi_P01_1	15	191883	62	6293	3.27960267454647	NA
Chi_P01_1	16	311203	128	17629	5.66479114918558	NA
Chi_P01_1	17	219823	55	7561	3.43958548468541	NA
Chi_P01_1	18	279435	87	12039	4.30833646465189	NA
Chi_P01_1	19	309199	128	18146	5.86871238264031	NA
Chi_P01_1	20	302542	165	19324	6.38721235398721	NA
Chi_P01_1	21	305612	113	14772	4.83357983325262	NA
Chi_P01_1	22	359070	111	12744	3.54916868577158	NA
Chi_P01_1	23	343560	79	9787	2.84870182791943	NA
Chi_P01_1	24	298877	123	15018	5.02480953703363	NA
