fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P07_1	1	339982	117	14906	4.38434975969316	NA
Chi_P07_1	2	269323	125	18979	7.04692878068342	NA
Chi_P07_1	3	331011	196	24039	7.26229641915223	NA
Chi_P07_1	4	305794	159	23472	7.67575557401388	NA
Chi_P07_1	5	336612	164	23664	7.03005240454886	NA
Chi_P07_1	6	347309	175	27841	8.01620459014883	NA
Chi_P07_1	7	295214	101	9908	3.35620939386343	NA
Chi_P07_1	8	301603	93	9720	3.22277961426113	NA
Chi_P07_1	9	296038	117	14549	4.91457177794743	NA
Chi_P07_1	10	304901	87	8519	2.79402166604898	NA
Chi_P07_1	11	272962	101	12013	4.40097889083462	NA
Chi_P07_1	12	311726	118	14026	4.49946427311164	NA
Chi_P07_1	13	282290	123	21010	7.44270076871303	NA
Chi_P07_1	14	345008	165	22752	6.59462968974632	NA
Chi_P07_1	15	284097	123	19032	6.69912037085925	NA
Chi_P07_1	16	312850	163	23085	7.37893559213681	NA
Chi_P07_1	17	350100	84	7998	2.28449014567266	NA
Chi_P07_1	18	317919	108	11500	3.61727358226466	NA
Chi_P07_1	19	347652	82	6521	1.87572630101366	NA
Chi_P07_1	20	291452	94	8822	3.02691352263838	NA
Chi_P07_1	21	342345	102	10128	2.95841913858827	NA
