image	leaf.number	lesion.status	lesion.number	lesion.surface	lesion.perimeter	lesion.radius.mean	lesion.radius.sd	lesion.radius.min	lesion.radius.max	leaf.surface	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta
testCut_3	1	keep	1	16	10	1.84573138021633	0.208028056003803	1.5	2.06155281280883	371913	442	195.5	4.89897948556636	0.577350269189626	0
testCut_3	1	keep	2	61	25	4.20730844047871	1.24231867356028	2.49703824560217	6.33681307914317	371913	414.131147540984	202.524590163934	13.2001351409425	0.891899420682928	0.945429774782207
testCut_3	1	keep	4	97	30	5.12361835400176	0.613443347273457	3.75129607232252	6.40876136411883	371913	642.103092783505	205.711340206186	12.3028119683128	0.55666175034031	1.34951264093832
testCut_3	1	keep	5	22	14	2.26807242308206	0.625748966734244	1.11803398874989	3.20156211871642	371913	403	205.5	7.21501228458817	0.849509432806426	1.02155086406237
testCut_3	1	keep	6	22	14	2.19441463940734	0.411385789625496	1.3420210162897	2.8437184624849	371913	650.636363636364	213.227272727273	6.09753442244802	0.64533434986989	0.0384678188917461
testCut_3	1	keep	7	19	13	2.10060390289228	0.597238656137142	1.17669681082911	3.23443016025061	371913	744.684210526316	225.210526315789	6.6565551516603	0.826834557874771	0.119650469241598
testCut_3	1	keep	8	225	50	8.27451681133673	1.82821539729481	4.92442890089805	11.4825955254028	371913	234.053333333333	233.493333333333	22.7817573239267	0.826653553235498	0.644271994287631
testCut_3	1	keep	10	94	37	5.54818385824544	2.01436965165592	2.13667409470839	8.75942568603446	371913	686.148936170213	234.797872340426	17.7943791231681	0.906141397462587	0.631499382507722
testCut_3	1	keep	11	27	16	2.47894569302166	0.475312529867855	1.75111571576524	3.3825147819337	371913	740.074074074074	235.518518518519	7.02476816172619	0.709801321788608	0.941527631107169
testCut_3	1	keep	14	40	18	3.12782556523186	0.441703854647389	2.27777777777778	3.70726680460064	371913	471.3	248.5	8.14861951498499	0.647516106697619	-1.57079632679281
testCut_3	1	keep	15	48	21	3.53475011000047	0.659732427027154	2.26228067051804	4.65718180916616	371913	605.458333333333	248.3125	9.39489418075013	0.682536612295732	-0.664219605874862
testCut_3	1	keep	16	13	10	1.64280016428241	0.511084748582536	0.800000000000011	2.33238075793811	371913	335.769230769231	254	5.57731856381994	0.849531226379967	1.13330725808984
testCut_3	1	keep	18	11	9	1.47290876737176	0.419784200923621	0.808901098808942	2.23330569358243	371913	556.727272727273	264.818181818182	4.85444491973983	0.80827773988296	0.042997145598127
testCut_3	1	keep	19	11	9	1.41683715376238	0.302221626984684	0.949333749479748	1.88888888888891	371913	733.090909090909	265.636363636364	4.34612998413796	0.708443752642417	-1.30776311729994
testCut_3	1	keep	22	96	31	5.11339950163752	0.765320701397285	3.80699832049857	7.16688244316972	371913	296.145833333333	275.052083333333	12.5069554306496	0.576926971400815	0.387405591818934
testCut_3	1	keep	23	49	21	3.50909763376444	0.631072053967202	2.43043812479521	4.49363369270041	371913	552.877551020408	289.69387755102	8.55646349640678	0.404888214052941	0.968227686329995
testCut_3	1	keep	24	20	12	2.08847001616964	0.219123740800975	1.47431716774616	2.31090410397699	371913	581.1	296.95	5.21536192415319	0.392952623996272	1.10714871781626
testCut_3	1	keep	26	107	34	5.415629407945	0.764495209592509	3.89925021627683	7.11861928216624	371913	278.373831775701	312	13.7096090070188	0.680947887623882	0.622043265948561
testCut_3	1	keep	28	23	14	2.26065564434433	0.393372825882912	1.51859225896209	3.02708858577387	371913	366	315.217391304348	6.30268002234267	0.678561669693121	0.860088435630907
testCut_3	1	keep	30	56	23	3.92510665522654	0.895252619992218	2.32395269824221	5.70361209465333	371913	495.232142857143	323.160714285714	11.3525937136457	0.827166138663697	0.8529509487829
testCut_3	1	keep	31	199	53	7.72530451659777	2.02317943630676	3.6652369997247	11.7722090391047	371913	377.060301507538	332.165829145729	22.0924988702449	0.826040728540376	1.37615868684499
