image	leaf.number	lesion.status	lesion.number	lesion.surface	lesion.perimeter	lesion.radius.mean	lesion.radius.sd	lesion.radius.min	lesion.radius.max	leaf.surface	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta
testCut_1	1	keep	1	27	14	2.52407468938814	0.352058122436939	1.64905662580218	2.97695228345354	370067	396.407407407407	151.518518518519	6.72068065232265	0.659798012781599	0.879717771513732
testCut_1	1	keep	2	18	13	2.0458858191988	0.690704790986977	0.803100500685426	3.2390005032965	370067	355.333333333333	152.277777777778	7.00736708897451	0.880949580308918	0.278544163741841
testCut_1	1	keep	3	19	13	2.04384650203704	0.510452053180457	1.01176511061276	2.93922664223734	370067	577.105263157895	158.052631578947	6.26960010659157	0.783021172652295	0.664692945575724
testCut_1	1	keep	4	54	25	3.84037882571311	1.01365204829588	1.72742583053511	5.83300951482167	370067	670.759259259259	162.314814814815	11.0517796896642	0.770832010326438	0.500288168748467
testCut_1	1	keep	5	71	28	4.54591631962299	1.4053294764696	1.87151035808196	6.62805570653862	370067	755.394366197183	162.746478873239	14.4595333959288	0.882872292818271	0.698171500484671
testCut_1	1	keep	7	81	49	6.443912296514	3.29608341975811	1.22873414069309	12.4416840449442	370067	370.160493827161	164.197530864198	25.7854637583799	0.981143289239504	-0.084521116669854
testCut_1	1	keep	10	15	10	1.79702476752869	0.361527294804216	1.2	2.33238075793812	370067	658.066666666667	163.266666666667	5.25855452099202	0.73438877787123	0.480816430566784
testCut_1	1	keep	11	39	24	3.30648077239081	1.26772057542877	0.501733107449678	5.59777361496912	370067	350.025641025641	170.871794871795	11.3039527100303	0.869714453747031	-1.18656318474259
testCut_1	1	keep	13	134	49	6.11117639290248	1.89511625468724	2.02051123216797	9.24832121150394	370067	761.514925373134	183.917910447761	17.3018297942392	0.729063908711477	1.30941798514226
testCut_1	1	keep	14	209	52	7.90683326250363	1.98489999638585	3.48124731098448	11.4540825000154	370067	670.971291866029	184.377990430622	22.4994421343258	0.836964086439315	0.290774909828115
testCut_1	1	keep	15	53	22	3.77691105125898	0.699339075329542	2.68335857148099	5.04709228129105	370067	422.433962264151	188.264150943396	10.452667921565	0.787621998625339	0.823925909116344
testCut_1	1	keep	19	11	10	1.46809198407186	0.56982973448561	0.565685424949241	2.43310501211929	370067	188.454545454545	225.363636363636	5.2319091222642	0.81058776932978	-1.42154686100207
testCut_1	1	keep	21	66	30	4.70925379143614	1.72196136718178	1.89502272047358	7.63267828339292	370067	581.212121212121	231.166666666667	16.0121255431694	0.937234254697551	0.579486178800207
testCut_1	1	keep	23	30	17	2.63705990825234	0.323633387801564	2.08637033540804	3.36941258626347	370067	566.633333333333	235.6	6.64986865208091	0.486957250920404	0.893905126973971
testCut_1	1	keep	24	26	14	2.45456290555404	0.435208751019327	1.58113883008419	2.91547594742265	370067	683.5	241.5	6.7936622048901	0.702376916857126	0.620249485974427
testCut_1	1	keep	27	250	86	9.33883402281336	3.95819795720018	0.496744403797525	17.4099747305671	370067	195.644	253.72	29.0025520752303	0.795741115049916	0.678918494543936
testCut_1	1	keep	28	297	59	9.37977652610938	1.86200901799722	5.66226008881751	12.9840907668665	370067	708.680134680135	258.232323232323	24.7240125965666	0.766014420406501	0.354029116740391
testCut_1	1	keep	35	96	38	5.49710482131586	2.048067617472	2.27292872438834	8.63943801393793	370067	603.979166666667	277.1875	18.7353270717544	0.926937306022705	-0.382522328737092
testCut_1	1	keep	39	27	16	2.64872777545673	0.933252335397042	1.14051797443092	4.20425751471053	370067	246.296296296296	284	8.90740879092547	0.890400661666647	0.758868231729883
testCut_1	1	keep	40	18	12	2.0505941411003	0.637318428727922	0.745355992499913	3.1446603773522	370067	581.222222222222	283.833333333333	6.60994499608958	0.840148527996441	-0.805419506961739
testCut_1	1	keep	42	14	11	1.63662496621895	0.338891058750264	0.966376892066774	2.20067607943822	370067	549.357142857143	299.714285714286	4.74024689745986	0.607285612323332	0.619850125034588
testCut_1	1	keep	47	13	10	1.60134316594917	0.442380000528814	0.799999999999955	2.15406592285378	370067	757.846153846154	321	5.20354908470522	0.806442589606414	1.5707963267949
testCut_1	1	keep	51	12	9	1.52707702122622	0.402321925498334	0.916245694581701	2.22499826605565	370067	333.166666666667	325.083333333333	4.89499443193638	0.795006058739571	0.164355499415667
testCut_1	1	keep	52	30	16	2.62399852196304	0.416203684192948	2.00097632419777	3.22163099221497	370067	573.966666666667	334.9	7.11539232290607	0.666672115980817	-1.49705453246137
testCut_1	1	keep	53	28	15	2.54654057207111	0.484903201469877	1.69705627484771	3.29848450049413	370067	268.785714285714	338.178571428571	7.20645741585726	0.733853956563502	0.212075751631101
testCut_1	1	keep	54	12	9	1.52707702122622	0.402321925498334	0.916245694581701	2.22499826605565	370067	396.833333333333	341.916666666667	4.89499443192673	0.795006058739233	0.164355499420545
testCut_1	1	keep	55	12	10	1.51469454083836	0.442380433512225	1.00498756211209	2.32594066992262	370067	548.833333333333	344	5.04739890001686	0.810370410071612	0.345668464383252
testCut_1	1	keep	56	216	59	7.93715502623825	1.50499174027551	4.5050962237295	10.9191618439738	370067	457.87962962963	356.328703703704	19.6927640269951	0.62822145206463	0.750230214224594
testCut_1	1	keep	57	39	18	3.09164870812511	0.309885871253693	2.49691167269379	3.5294178165041	370067	676.128205128205	351.666666666667	7.34339026757074	0.368620066198437	0.9071911165823
testCut_1	1	keep	59	68	25	4.21557347064675	0.578394600233548	3.20224920954006	5.18212311702453	370067	615.838235294118	362.058823529412	10.8105466156049	0.669140738247244	0.970696581313851
testCut_1	1	keep	60	126	36	6.15178889412745	1.48644063042194	3.85160700788772	8.6635500094033	370067	715.952380952381	364.460317460317	17.6830801001058	0.850658234977514	0.750459072555963
testCut_1	1	keep	61	14	10	1.6628228286613	0.406226833779878	0.984885780179592	2.40208242989287	370067	509.857142857143	360.642857142857	4.94370787913444	0.678393698840074	1.43862510691858
testCut_1	1	keep	63	16	13	1.97528828413392	0.885791582206352	0.923076923076906	3.54180444099117	370067	498.125	365.125	7.71488238148258	0.930546173302144	0.586136940564238
testCut_1	1	keep	67	102	35	5.66090735309464	1.79882200140545	2.46775118647876	8.95886290160732	370067	285.892156862745	376.666666666667	17.7506489589458	0.908214865317602	0.460232192626615
testCut_1	1	keep	71	116	60	8.163031833059	4.48072044842232	0.733522702822178	15.6238510688698	370067	589.655172413793	398.258620689655	35.5330493980837	0.985551038601044	0.621656103364489
testCut_1	1	keep	72	24	14	2.38459112671601	0.507545770751438	1.40879163737973	3.18238134427792	370067	431.625	391.75	6.77354710697476	0.718391811609766	0.769558393995386
testCut_1	1	keep	73	15	10	1.79702476752869	0.361527294804207	1.20000000000005	2.33238075793814	370067	748.266666666667	391.066666666667	5.25855452099487	0.734388777868859	1.08997989622426
testCut_1	1	keep	76	111	40	5.66716934656722	1.41600374198971	3.0827139017431	8.2887348250502	370067	490.702702702703	404.828828828829	15.9452620462775	0.786392932383927	0.438549298868784
testCut_1	1	keep	77	52	26	3.83683447659984	1.16748478611159	2.39235716001289	6.36942121603047	370067	185.269230769231	405.480769230769	11.8769021090216	0.860780632918899	0.507454743810998
testCut_1	1	keep	78	25	15	2.39414378334253	0.42330444811437	1.73845397472072	3.30991775661506	370067	561.88	403.76	6.69025159927979	0.704117810460922	0.960867834590339
testCut_1	1	keep	81	47	24	3.51029800885539	0.961423770667039	1.65935897931167	5.20449858829415	370067	297.425531914894	418.489361702128	9.93509638516781	0.725618006791127	1.45033510741853
testCut_1	1	keep	84	329	113	12.2381090867361	6.01131944034219	2.25474499883897	21.1690368887533	370067	182.744680851064	437.243161094225	49.8769821318093	0.973356649120975	1.55438070646936
testCut_1	1	keep	85	11	8	1.50405908117477	0.311739122241196	1.00778221853732	1.9405218370325	370067	533.818181818182	419.545454545455	4.53331596208615	0.747470665015713	-0.854718031949582
testCut_1	1	keep	86	54	25	3.74738031886883	1.02232125369402	1.46696966567137	4.99119224234049	370067	541.203703703704	423.314814814815	11.1163269909908	0.783022737486494	-0.603241106465426
testCut_1	1	keep	87	44	25	3.65175626644129	1.17263641871927	1.57784663386529	6.02740408467857	370067	260.636363636364	427.181818181818	11.2031770837329	0.863877299619211	0.489634926864693
testCut_1	1	keep	89	55	23	3.78062143771366	0.534182974440337	2.82608695652176	4.8619894486584	370067	469.8	434.690909090909	9.53037022375978	0.614497026877997	0.927005287866927
testCut_1	1	keep	91	197	48	7.50736310994106	1.11966443234196	5.6670113253029	9.66040116633075	370067	281.497461928934	446.954314720812	18.0315934234285	0.598649331114879	-0.344913804939375
testCut_1	1	keep	93	29	17	2.60578441788483	0.42278327662823	1.94829354843285	3.40008141567493	370067	200.310344827586	446.931034482759	6.68759387935703	0.497398834083236	0.928326853414172
testCut_1	1	keep	95	13	10	1.59425662531758	0.488206731447851	0.90553851381375	2.2847319317592	370067	247.846153846154	447.923076923077	5.25590969286799	0.797483891151437	-1.05098697301208
testCut_1	1	keep	97	20	12	2.08398964348007	0.396216059578345	1.58113883008419	2.54950975679639	370067	230.5	457.5	6	0.730296743340166	1.5707963267949
